route_id,src,dst,sp_dist_m,sp_time_s,sp_emis_g,fp_dist_m,fp_time_s,fp_emis_g,ca_dist_m,ca_time_s,ca_emis_g
1,448305147,421264367,252.49053944619595,33.9862255376881,50.713889436596745,252.88028429726165,25.9323574081205,48.45597241029303,252.88028429726165,25.9323574081205,48.45597241029303
2,1500741749,1500356593,190.50741588341904,27.433067887212342,38.780165845768494,190.50741588341904,27.433067887212342,38.780165845768494,190.50741588341904,27.433067887212342,38.780165845768494
3,1339408212,448307457,688.033450114364,99.07681681646841,140.05780918890522,688.033450114364,99.07681681646841,140.05780918890522,688.033450114364,99.07681681646841,140.05780918890522
4,423744898,6424016579,1349.6837395090456,172.09299624820943,268.611904527261,1351.3716725482143,158.65788674045268,265.0806045645395,1351.3716725482143,158.65788674045268,265.0806045645395
5,423744890,11012318041,1339.6467020652558,171.2420477424108,266.7400385146474,1340.4421028906477,167.56643224044825,265.8767245030894,1342.8070705343487,167.90698758114118,266.35814322906026
6,3530536223,421264372,1601.2681936993815,196.35320181659253,316.59198195171274,1626.0007973147033,179.24707773990502,315.6703196002421,1626.0007973147033,179.24707773990502,315.6703196002421
7,1339408148,1462139760,2109.3903491287497,225.2859109403313,408.1159546843289,2117.6839341615228,224.3176581761339,409.18098874124297,2113.509215620812,229.75141362832414,410.2229564694716
8,4474675140,11497593334,515.561192936264,51.6483467541994,98.88896726951499,515.561192936264,51.6483467541994,98.88896726951499,515.561192936264,51.6483467541994,98.88896726951499
9,421264368,7488252791,1971.8038528349298,143.88482951510252,364.4797791035884,1971.8038528349298,143.88482951510252,364.4797791035884,1971.8038528349298,143.88482951510252,364.4797791035884
10,3389131729,1339408165,2757.926361255632,322.1162289430601,542.0275698057412,2776.6111580295183,257.9170456235347,529.1044715875069,2776.6111580295183,257.9170456235347,529.1044715875069
11,3726120778,11012314120,2087.567069765945,240.18986319259616,409.730014810201,2291.8493170783313,173.0643360364369,427.44013332739,2105.4564657144397,179.66629537503334,397.6702306035246
12,1500742635,286682015,464.34278534785904,58.315631206481285,92.05879358841639,464.34278534785904,58.315631206481285,92.05879358841639,464.34278534785904,58.315631206481285,92.05879358841639
13,491866517,3530536223,480.1138859523543,69.13639957713903,97.73318290917614,480.1138859523543,69.13639957713903,97.73318290917614,480.1138859523543,69.13639957713903,97.73318290917614
14,491866470,1339408130,150.7390311023227,21.706420478734472,30.684814018766566,150.7390311023227,21.706420478734472,30.684814018766566,150.7390311023227,21.706420478734472,30.684814018766566
15,1842455527,423744898,807.007675619434,114.33672254875893,163.95347329821274,901.2711195577981,85.69534998662,171.04191639972206,808.9130927811351,100.44987777668288,160.11178323757068
16,423744893,3369884089,411.27126115258386,59.22306160597208,83.71940609837284,411.27126115258386,59.22306160597208,83.71940609837284,411.27126115258386,59.22306160597208,83.71940609837284
17,423744895,2268586318,529.6287307063818,76.26653722171898,107.81254849441783,532.069706946663,74.45550879140276,107.68621087401034,532.069706946663,74.45550879140276,107.68621087401034
18,1842455531,11497593335,680.6704932344096,49.00827551287749,125.41353837843997,680.6704932344096,49.00827551287749,125.41353837843997,680.6704932344096,49.00827551287749,125.41353837843997
19,1500723974,421264380,957.0439800837082,98.48927044769528,184.27013640284983,957.0439800837082,98.48927044769528,184.27013640284983,957.0439800837082,98.48927044769528,184.27013640284983
20,4101591489,6137935141,729.7730444092438,82.2707297785701,142.20448262345394,738.0666294420167,81.30247701437268,143.26951668036804,729.7730444092438,82.2707297785701,142.20448262345394
21,448306747,3369884080,1075.6548972777307,152.52189306542905,218.2792840276785,1232.6636956330597,129.18084253413812,237.52728079676908,1075.6548972777307,152.52189306542905,218.2792840276785
22,1563301999,12364203537,471.558470657384,53.86420364492682,92.22562571089463,471.558470657384,53.86420364492682,92.22562571089463,471.558470657384,53.86420364492682,92.22562571089463
23,12107761079,2268586322,1058.1510004533175,93.19325362628578,199.525929396403,1058.1510004533175,93.19325362628578,199.525929396403,1058.1510004533175,93.19325362628578,199.525929396403
24,10182013933,1317176299,1961.0744575840795,278.92682618309937,398.94798126724567,1961.8698584094714,275.2512106811368,398.0846672556877,1961.8698584094714,275.2512106811368,398.0846672556877
25,1420066813,1563301990,1366.2217003277515,194.06631588260151,277.3421384005327,1505.67289744326,135.8237792231379,284.7738226365872,1452.0549542165481,142.26025324642802,277.6566631891703
26,423744842,1462139760,1023.3050106523231,139.07520454153152,205.92006959768622,1023.3050106523231,139.07520454153152,205.92006959768622,1023.3050106523231,139.07520454153152,205.92006959768622
27,423744897,3369884089,529.0006044282073,76.17608703766186,107.68468553891694,529.0006044282073,76.17608703766186,107.68468553891694,529.0006044282073,76.17608703766186,107.68468553891694
28,12692472179,2268586324,1025.5050167713214,131.68100987590074,204.83972701119453,1520.581016326847,101.82695928087271,279.36966956086115,1045.5984147656668,128.17525459946773,207.21353602655202
29,736207255,2268586334,1481.867182754267,178.48953253912015,292.0017716291499,1976.943182309793,148.63548194409213,366.5317141788165,1501.9605807486123,174.98377726268714,294.3755806445074
30,2268586300,1339408083,1787.4379877217243,233.13059879846173,357.1461503354189,2092.0016434934682,204.9412324449692,400.5672881187918,1788.2333885471162,229.45498329649917,356.28283632386086
31,1500736131,423744834,953.9679996896191,123.21393410736856,190.39466781614752,1070.6371984051025,107.38471088504357,204.95637145975527,954.1974187219744,116.61236161389327,188.66177332918218
32,11497593344,12692472179,1083.7958604695748,127.43575154054533,213.08453973880628,1280.0867643034642,86.22552650132623,235.32575553702384,1087.914726961637,131.90125422853814,215.19154152394896
33,736207509,6136526267,1938.320366987386,228.39749649353982,380.95182826340834,1957.0051637612723,164.19831317401443,368.0287300451739,1957.0051637612723,164.19831317401443,368.0287300451739
34,1500356593,736207255,2472.0736407254453,262.9973354267675,477.76153865779537,2767.164780175801,212.0357765790165,514.8476662460164,2476.192507217507,267.46283811476036,479.868540442938
35,4202330449,3369884089,802.1525727411113,113.1375583321559,162.60446708919292,802.1525727411113,113.1375583321559,162.60446708919292,802.921721906976,113.24831581204045,162.76103701626928
36,1500741746,6485075159,616.3745310472924,57.67162620304432,117.01039310953182,616.3745310472924,57.67162620304432,117.01039310953182,616.3745310472924,57.67162620304432,117.01039310953182
37,1339408165,1842455499,576.6235977957159,83.03379808258308,117.37894112629043,576.6235977957159,83.03379808258308,117.37894112629043,576.6235977957159,83.03379808258308,117.37894112629043
38,421264395,1462139757,1142.5254115692396,146.0149752478242,227.44543338732683,1293.983727593827,117.28804252345907,244.72118816108633,1143.0960792356616,134.13612215614845,224.35330301982134
39,421264372,1756917763,492.0073288872333,66.96084283044173,99.03368063683817,492.0073288872333,66.96084283044173,99.03368063683817,492.0073288872333,66.96084283044173,99.03368063683817
40,3370456519,1500736132,484.8318107599147,52.30481194691531,93.99662290839123,484.8318107599147,52.30481194691531,93.99662290839123,484.8318107599147,52.30481194691531,93.99662290839123
41,421265110,1339408095,1717.3288079135443,225.62827098456432,343.6219521863894,2117.944096221602,206.08355155934007,405.1007968865895,1718.1242087389362,221.95265548260176,342.75863817483145
42,7488252818,1756917763,366.30706521419853,41.45542733382365,71.3118626059544,366.30706521419853,41.45542733382365,71.3118626059544,366.30706521419853,41.45542733382365,71.3118626059544
43,1339408095,4474675120,1550.4445755786965,156.3111170043773,297.65365283933113,1550.4445755786965,156.3111170043773,297.65365283933113,1550.4445755786965,156.3111170043773,297.65365283933113
44,3370175096,3887138937,1914.841056359017,229.28704250878778,377.4030747043704,1933.7523328715363,167.38843969710123,365.1126215703781,1933.7523328715363,167.38843969710123,365.1126215703781
45,448308010,1500723974,851.532644687305,108.4692299819998,169.54427675015918,852.3280455126969,104.79361448003726,168.6809627386012,852.3280455126969,104.79361448003726,168.6809627386012
46,448307457,1500356596,481.33523514399013,69.31227386073456,97.98180380399849,481.33523514399013,69.31227386073456,97.98180380399849,481.33523514399013,69.31227386073456,97.98180380399849
47,7488252791,6137935142,1358.754007338492,150.60907291609783,264.7868119098967,1479.7786303342139,102.40474427691936,272.92944392870663,1479.7786303342139,102.40474427691936,272.92944392870663
48,1500723973,10309256814,1721.6953269159198,152.4763670531038,324.8641302263083,1721.6953269159198,152.4763670531038,324.8641302263083,1721.6953269159198,152.4763670531038,324.8641302263083
49,3530536226,10309256812,1849.6427745682925,164.81712426323296,349.2786024460513,1849.6427745682925,164.81712426323296,349.2786024460513,1849.6427745682925,164.81712426323296,349.2786024460513
50,3370175098,2268586322,1223.218841067882,158.2219486264166,243.83659001387124,1490.0699885067427,121.05713291157895,278.9926037601232,1331.076096127662,121.33008551208479,252.04790637110398
51,1339408165,448307454,984.4134855266079,127.59808406789494,196.5922270268396,984.6429045589632,120.99651157441966,194.85933253987426,984.6429045589632,120.99651157441966,194.85933253987426
52,4474692928,4386563000,1737.9380877830447,157.5170184660499,328.90182195268244,1737.9380877830447,157.5170184660499,328.90182195268244,1737.9380877830447,157.5170184660499,328.90182195268244
53,423744929,491866469,1243.2816117816767,162.21147227899462,248.52030939187196,1244.0770126070686,158.53585677703205,247.656995380314,1244.0770126070686,158.53585677703205,247.656995380314
54,12364203537,491866517,1900.8967954263546,256.9080587238282,382.3861002125417,1901.6921962517465,253.23244322186565,381.5227862009837,1901.6921962517465,253.23244322186565,381.5227862009837
55,3530536223,11386898670,1790.493603332653,167.4578586035858,340.23662056470374,1790.493603332653,167.4578586035858,340.23662056470374,1790.493603332653,167.4578586035858,340.23662056470374
56,421265109,3369913191,1087.722679685568,134.1256612645899,215.2435713559228,1186.5229153020348,124.37432745605797,230.08848314592618,1087.722679685568,134.1256612645899,215.2435713559228
57,3369884090,11386898670,740.9674611654168,97.3192121401953,148.3171717989921,778.7353656208877,64.69681252222121,145.79623647592015,778.7353656208877,64.69681252222121,145.79623647592015
58,4202330456,5469373781,1255.9732336971958,186.70812698624098,257.65015677925453,1349.9022882758018,128.7418725326983,257.18680108416794,1349.9022882758018,128.7418725326983,257.18680108416794
59,1500356614,6485070845,888.8220137981311,127.99036998693087,180.9308311837821,888.8220137981311,127.99036998693087,180.9308311837821,888.8220137981311,127.99036998693087,180.9308311837821
60,355428742,448305148,1249.5877795566132,161.97944749321493,249.1928964061188,1262.5341018198942,111.29172270020857,238.80282485663227,1262.5341018198942,111.29172270020857,238.80282485663227
